episode,epsilon,total_reward,avg_reward,total_shaped_reward,avg_shaped_reward,avg_loss
188,0.9102613637141588,0.0,0.0,-10.349235087774577,-5.174617543887289,0.008489905863202044
189,0.9098062330323018,0.0,0.0,-14.521426116789424,-7.260713058394712,0.008728370825493974
190,0.9093513299157857,0.0,0.0,-10.749755875546208,-5.374877937773104,0.00846762269203152
191,0.9088966542508279,0.0,0.0,-12.475124827132877,-6.2375624135664385,0.010430335317339216
192,0.9084422059237025,0.0,0.0,-13.225937203999813,-6.612968601999906,0.009120001293984907
193,0.9079879848207407,1.0,0.5,-9.23609489468075,-4.618047447340375,0.008542415868224842
194,0.9075339908283304,0.0,0.0,-10.11265293275233,-5.056326466376165,0.008293487123612846
195,0.9070802238329163,1.0,0.5,-10.718464321053183,-5.359232160526592,0.008131374808560524
196,0.9066266837209999,0.0,0.0,-13.674624187808943,-6.837312093904472,0.00795871783713145
197,0.9061733703791394,1.0,0.5,-7.826426116789401,-3.9132130583947005,0.00788211711283241
198,0.9057202836939499,1.0,0.5,-10.71750763248773,-5.358753816243865,0.008192493176486876
199,0.9052674235521029,1.0,0.5,-9.877441671846636,-4.938720835923318,0.007830494877749256
200,0.9048147898403269,2.0,1.0,-8.934769488073538,-4.467384744036769,0.007802189766163273
201,0.9043623824454068,0.0,0.0,-12.19467066388436,-6.09733533194218,0.009752025389378624
202,0.9039102012541841,0.0,0.0,-12.916840555885418,-6.458420277942709,0.008696147187479904
203,0.9034582461535571,3.0,1.5,-3.3318870319608185,-1.6659435159804092,0.008588439154305629
204,0.9030065170304803,0.0,0.0,-11.253377887280337,-5.626688943640168,0.008219299718205418
205,0.9025550137719651,2.0,1.0,-5.478100235396413,-2.7390501176982065,0.008359380088347409
206,0.9021037362650792,1.0,0.5,-10.185937203999796,-5.092968601999898,0.00829671618329095
207,0.9016526843969468,0.0,0.0,-12.671715728752549,-6.335857864376274,0.008164059953497988
208,0.9012018580547484,1.0,0.5,-8.251360156148312,-4.125680078074156,0.00813553534913808
209,0.900751257125721,2.0,1.0,-5.067316844713764,-2.533658422356882,0.00828017779226814
210,0.9003008814971583,1.0,0.5,-6.994401525052956,-3.497200762526478,0.008338498260293687
211,0.8998507310564098,0.0,0.0,-10.456762204827971,-5.2283811024139855,0.010708277528839452
212,0.8994008056908817,0.0,0.0,-11.35467752448877,-5.677338762244385,0.009310540546929197
213,0.8989511052880362,0.0,0.0,-12.777251117617599,-6.3886255588087995,0.008898378713721676
214,0.8985016297353923,2.0,1.0,-8.325114089164623,-4.162557044582312,0.008667467692866922
215,0.8980523789205246,0.0,0.0,-10.43976948807353,-5.219884744036765,0.008188453423790633
216,0.8976033527310644,1.0,0.5,-9.002218254069483,-4.501109127034741,0.00807920655102602
217,0.8971545510546989,1.0,0.5,-8.402251117617574,-4.201125558808787,0.008404614751094153
218,0.8967059737791716,0.0,0.0,-10.391750478293641,-5.195875239146821,0.008264223665797285
219,0.8962576207922821,0.0,0.0,-11.24583837981061,-5.622919189905305,0.007970254347393556
220,0.895809491981886,0.0,0.0,-10.803464321053186,-5.401732160526593,0.00823643321171403
221,0.8953615872358951,0.0,0.0,-10.792441671846635,-5.396220835923318,0.009740697120183281
222,0.8949139064422772,2.0,1.0,-10.765838379810624,-5.382919189905312,0.008484863121328609
223,0.8944664494890561,1.0,0.5,-8.473734448450646,-4.236867224225323,0.008187148476551685
224,0.8940192162643116,2.0,1.0,-6.078174709090031,-3.0390873545450154,0.008454110944377525
225,0.8935722066561794,1.0,0.5,-10.511393253241316,-5.255696626620658,0.007744427115789481
226,0.8931254205528514,0.0,0.0,-10.284289321881346,-5.142144660940673,0.007474327759285059
227,0.8926788578425751,0.0,0.0,-12.604724000564214,-6.302362000282107,0.007052353818767837
228,0.8922325184136538,0.0,0.0,-9.228054747887086,-4.614027373943543,0.007407482022951756
229,0.891786402154447,0.0,0.0,-10.143622245279023,-5.071811122639511,0.00704108509168561
230,0.8913405089533699,1.0,0.5,-10.96590599289982,-5.48295299644991,0.00707400294020772
231,0.8908948386988933,2.0,1.0,-4.9683983604120785,-2.4841991802060392,0.009174594650976359
232,0.8904493912795439,2.0,1.0,-6.924691137016096,-3.462345568508048,0.008486205098618355
233,0.8900041665839042,1.0,0.5,-9.003687972375216,-4.501843986187608,0.007599846025529717
234,0.8895591645006123,0.0,0.0,-8.491994369202533,-4.245997184601267,0.00767586285647537
235,0.889114384918362,0.0,0.0,-9.912474768939616,-4.956237384469808,0.008231906989988472
236,0.8886698277259029,1.0,0.5,-9.769835448714623,-4.884917724357312,0.008607906292724822
237,0.88822549281204,1.0,0.5,-10.171385170525902,-5.085692585262951,0.008203600514014918
238,0.887781380065634,3.0,1.5,-5.411484983281172,-2.705742491640586,0.007804316714672106
239,0.8873374893756012,2.0,1.0,-5.897968314114236,-2.948984157057118,0.008013994255369262
240,0.8868938206309135,1.0,0.5,-9.313431457505075,-4.656715728752538,0.00828560476457434
241,0.8864503737205981,0.0,0.0,-10.5102837399248,-5.2551418699624,0.008668948811079774
242,0.8860071485337379,1.0,0.5,-9.039545836751488,-4.519772918375744,0.007770619463574674
243,0.885564144959471,0.0,0.0,-10.544961264413573,-5.272480632206786,0.007448432883912963
244,0.8851213628869913,2.0,1.0,-7.135212913353804,-3.567606456676902,0.008076562803637768
245,0.8846788022055478,2.0,1.0,-5.8172180205245905,-2.9086090102622952,0.007640084463304707
246,0.8842364628044451,0.0,0.0,-11.690147186257622,-5.845073593128811,0.007453425369624581
247,0.883794344573043,1.0,0.5,-10.804545836751501,-5.4022729183757505,0.007383384123178465
248,0.8833524474007565,0.0,0.0,-9.999202224226485,-4.999601112113242,0.007252201795178864
249,0.8829107711770562,1.0,0.5,-6.566906282981579,-3.2834531414907895,0.00690430880324649
250,0.8824693157914677,1.0,0.5,-7.059545836751479,-3.5297729183757394,0.006990687766644571
251,0.882028081133572,1.0,0.5,-9.745693079545998,-4.872846539772999,0.008569911321891206
252,0.8815870670930053,3.0,1.5,-3.9354830407512744,-1.9677415203756372,0.007730289305826383
253,0.8811462735594588,1.0,0.5,-11.716643896073135,-5.858321948036568,0.007465187094307372
254,0.8807057004226791,1.0,0.5,-10.98754536196573,-5.493772680982865,0.006957481066430253
255,0.8802653475724679,1.0,0.5,-12.269578700299604,-6.134789350149802,0.0069379413360729815
256,0.8798252148986817,1.0,0.5,-8.672441671846624,-4.336220835923312,0.006611900398773806
257,0.8793853022912325,2.0,1.0,-6.651583807470358,-3.325791903735179,0.0072939384961500766
258,0.8789456096400869,0.0,0.0,-11.607474768939626,-5.803737384469813,0.0067478230356105735
259,0.8785061368352669,0.0,0.0,-12.664069314378228,-6.332034657189114,0.007219921297260693
260,0.8780668837668493,2.0,1.0,-8.270535388865039,-4.135267694432519,0.006796274228420641
261,0.8776278503249659,2.0,1.0,-8.770469428223961,-4.385234714111981,0.008442474930946317
262,0.8771890363998035,0.0,0.0,-13.020883867319954,-6.510441933659977,0.006828048492648772
263,0.8767504418816037,1.0,0.5,-9.391762204827966,-4.695881102413983,0.006946213680452534
264,0.876312066660663,3.0,1.5,-6.325349467020987,-3.1626747335104937,0.00712258929519781
265,0.8758739106273327,1.0,0.5,-7.410805516262506,-3.705402758131253,0.00710702061253999
266,0.8754359736720191,1.0,0.5,-7.127699408827755,-3.5638497044138777,0.007416642929560372
267,0.8749982556851831,2.0,1.0,-7.600502525316946,-3.800251262658473,0.007157147973110633
268,0.8745607565573406,1.0,0.5,-10.872185156976494,-5.436092578488247,0.006694528244967971
269,0.8741234761790619,0.0,0.0,-11.700436564675861,-5.850218282337931,0.006965824587137571
270,0.8736864144409725,2.0,1.0,-7.205917719434126,-3.602958859717063,0.006567426007241011
271,0.873249571233752,2.0,1.0,-8.346108507208081,-4.1730542536040405,0.007143208383848625
272,0.8728129464481352,2.0,1.0,-7.804056923961875,-3.9020284619809376,0.007020892601327172
273,0.8723765399749112,2.0,1.0,-8.206518080374169,-4.103259040187084,0.006109943788365594
274,0.8719403517049238,0.0,0.0,-12.652573593128825,-6.326286796564412,0.005934679041217481
275,0.8715043815290714,1.0,0.5,-10.321919895508923,-5.160959947754462,0.005780171350842076
276,0.8710686293383069,1.0,0.5,-11.487599362527597,-5.743799681263798,0.005617071219187762
277,0.8706330950236377,2.0,1.0,-5.889657051357011,-2.9448285256785054,0.005838988750640835
278,0.870197778476126,1.0,0.5,-10.104110924523743,-5.052055462261872,0.0056676400579246024
279,0.869762679586888,0.0,0.0,-12.411393253241322,-6.205696626620661,0.005479602548293769
280,0.8693277982470946,1.0,0.5,-8.164770476639623,-4.082385238319811,0.005909027436615101
