episode,epsilon,total_reward,avg_reward,avg_loss,steps
161,0.9226363291490001,0.0,0.0,0.0016365394638186055,[]
162,0.9221750109844257,0.0,0.0,0.0017785066495915609,[]
163,0.9217139234789336,1.0,0.5,0.001543475687337507,[]
164,0.9212530665171942,0.0,0.0,0.0012909165347394134,[]
165,0.9207924399839357,0.0,0.0,0.0013463943474926055,[]
166,0.9203320437639437,1.0,0.5,0.0013758393721322395,[]
167,0.9198718777420618,0.0,0.0,0.0012810624329306717,[]
168,0.9194119418031909,0.0,0.0,0.0012536461320373097,[]
169,0.9189522358322894,0.0,0.0,0.0011832265533407087,[]
170,0.9184927597143733,0.0,0.0,0.0011593814543448388,[]
171,0.9180335133345161,0.0,0.0,0.001052726944409577,[]
172,0.917574496577849,0.0,0.0,0.0010795960414855341,[]
173,0.9171157093295601,0.0,0.0,0.001056853563641198,[]
174,0.9166571514748953,1.0,0.5,0.001112728295265697,[]
175,0.916198822899158,0.0,0.0,0.0010888996482494155,[]
176,0.9157407234877085,1.0,0.5,0.0011258541776831927,[]
177,0.9152828531259647,0.0,0.0,0.001505834653507918,[]
178,0.9148252116994018,0.0,0.0,0.0012152337529031294,[]
179,0.9143677990935521,0.0,0.0,0.0010803067142842338,[]
180,0.9139106151940054,0.0,0.0,0.0011357917174297785,[]
181,0.9134536598864085,0.0,0.0,0.0014284969637602834,[]
182,0.9129969330564653,0.0,0.0,0.0013645920614778462,[]
183,0.9125404345899372,0.0,0.0,0.0011406882406611528,[]
184,0.9120841643726423,0.0,0.0,0.0009587929515068286,[]
185,0.911628122290456,1.0,0.5,0.0009450643992749974,[]
186,0.9111723082293108,0.0,0.0,0.0008572327037109063,[]
187,0.9107167220751963,0.0,0.0,0.0008552599805573533,[]
188,0.9102613637141588,1.0,0.5,0.0007623100945160591,[]
189,0.9098062330323018,1.0,0.5,0.000884727565446935,[]
190,0.9093513299157857,0.0,0.0,0.0009237146055758265,[]
191,0.9088966542508279,0.0,0.0,0.0008586563930813489,[]
192,0.9084422059237025,1.0,0.5,0.0009065479198969635,[]
193,0.9079879848207407,0.0,0.0,0.0014523576547591282,[]
194,0.9075339908283304,0.0,0.0,0.0013444144999708182,[]
195,0.9070802238329163,0.0,0.0,0.0013657665760755274,[]
196,0.9066266837209999,0.0,0.0,0.0011594607847343597,[]
197,0.9061733703791394,0.0,0.0,0.0016218806501378173,[]
198,0.9057202836939499,0.0,0.0,0.001646780119626783,[]
199,0.9052674235521029,0.0,0.0,0.0014988231585760202,[]
200,0.9048147898403269,0.0,0.0,0.0014132794859220406,[]
201,0.9043623824454068,0.0,0.0,0.0012758456592148703,[]
202,0.9039102012541841,1.0,0.5,0.0013378385587462357,[]
203,0.9034582461535571,0.0,0.0,0.0013331194128009623,[]
204,0.9030065170304803,0.0,0.0,0.0013252900426907997,[]
205,0.9025550137719651,1.0,0.5,0.0013402991795114108,[]
206,0.9021037362650792,0.0,0.0,0.0013257828816339108,[]
207,0.9016526843969468,1.0,0.5,0.001278633225426477,[]
208,0.9012018580547484,2.0,1.0,0.0013683698332170025,[]
209,0.900751257125721,0.0,0.0,0.0018640503054484724,[]
210,0.9003008814971583,0.0,0.0,0.001596325931438644,[]
211,0.8998507310564098,1.0,0.5,0.0014619153086927587,[]
212,0.8994008056908817,2.0,1.0,0.0012916492911920483,[]
213,0.8989511052880362,0.0,0.0,0.0016971822275913188,[]
214,0.8985016297353923,1.0,0.5,0.0016515267084884857,[]
215,0.8980523789205246,0.0,0.0,0.0014446989989041219,[]
216,0.8976033527310644,0.0,0.0,0.0014673182706714475,[]
217,0.8971545510546989,0.0,0.0,0.0014839290896530397,[]
218,0.8967059737791716,2.0,1.0,0.001340452406854768,[]
219,0.8962576207922821,0.0,0.0,0.001438544147115733,[]
220,0.895809491981886,0.0,0.0,0.0015848907826667917,[]
221,0.8953615872358951,1.0,0.5,0.0014793747956199305,[]
222,0.8949139064422772,0.0,0.0,0.0013749614468542858,[]
223,0.8944664494890561,0.0,0.0,0.0013632182226449784,[]
224,0.8940192162643116,0.0,0.0,0.0013536210065441471,[]
225,0.8935722066561794,0.0,0.0,0.0018538419968847717,[]
226,0.8931254205528514,0.0,0.0,0.001875395683372127,[]
227,0.8926788578425751,0.0,0.0,0.0016056558403319545,[]
228,0.8922325184136538,1.0,0.5,0.001619935743178108,[]
229,0.891786402154447,0.0,0.0,0.001779555586233203,[]
230,0.8913405089533699,1.0,0.5,0.0015646379110902282,[]
231,0.8908948386988933,0.0,0.0,0.0015611724838215325,[]
232,0.8904493912795439,0.0,0.0,0.0015726475647950013,[]
233,0.8900041665839042,0.0,0.0,0.001505823602617186,[]
234,0.8895591645006123,0.0,0.0,0.0015327220672874578,[]
235,0.889114384918362,1.0,0.5,0.0013987423261694078,[]
236,0.8886698277259029,0.0,0.0,0.0013553642740173797,[]
237,0.88822549281204,1.0,0.5,0.0013894723650966106,[]
238,0.887781380065634,0.0,0.0,0.0013017118936737202,[]
239,0.8873374893756012,0.0,0.0,0.0013173519821637976,[]
240,0.8868938206309135,0.0,0.0,0.0014526640708624784,[]
241,0.8864503737205981,1.0,0.5,0.001822189554804936,[]
242,0.8860071485337379,0.0,0.0,0.0016830629181848573,[]
243,0.885564144959471,0.0,0.0,0.0015150200803431548,[]
244,0.8851213628869913,0.0,0.0,0.0014082031344462718,[]
245,0.8846788022055478,1.0,0.5,0.0015247828974055925,[]
246,0.8842364628044451,0.0,0.0,0.0013582046911220199,[]
247,0.883794344573043,1.0,0.5,0.0013403537521039003,[]
248,0.8833524474007565,0.0,0.0,0.0013874693188284126,[]
249,0.8829107711770562,1.0,0.5,0.0013162064272910356,[]
250,0.8824693157914677,0.0,0.0,0.001222429987475542,[]
251,0.882028081133572,0.0,0.0,0.0012135827662755868,[]
252,0.8815870670930053,0.0,0.0,0.0012046875738139663,[]
253,0.8811462735594588,0.0,0.0,0.0011477973341243342,[]
254,0.8807057004226791,0.0,0.0,0.0011622501676902175,[]
255,0.8802653475724679,2.0,1.0,0.0012358692672569305,[]
256,0.8798252148986817,0.0,0.0,0.001253148339622255,[]
257,0.8793853022912325,0.0,0.0,0.001487701911745327,[]
258,0.8789456096400869,1.0,0.5,0.0014402681299751359,[]
259,0.8785061368352669,0.0,0.0,0.0012332310855189073,[]
260,0.8780668837668493,0.0,0.0,0.0012351909017057291,[]
261,0.8776278503249659,0.0,0.0,0.0012809129332059196,[]
262,0.8771890363998035,1.0,0.5,0.0011729866886577968,[]
263,0.8767504418816037,0.0,0.0,0.0010491105026864847,[]
264,0.876312066660663,1.0,0.5,0.0009878150155002783,[]
265,0.8758739106273327,1.0,0.5,0.0010279691783112606,[]
266,0.8754359736720191,0.0,0.0,0.001022344911554163,[]
267,0.8749982556851831,0.0,0.0,0.000992171081514763,[]
268,0.8745607565573406,0.0,0.0,0.0009794718483629237,[]
269,0.8741234761790619,0.0,0.0,0.00093158568554957,[]
270,0.8736864144409725,0.0,0.0,0.0009210747802197667,[]
271,0.873249571233752,0.0,0.0,0.0009069145431775333,[]
272,0.8728129464481352,0.0,0.0,0.0008514932189635666,[]
273,0.8723765399749112,1.0,0.5,0.0012466234618165929,[]
274,0.8719403517049238,0.0,0.0,0.0012237967518324564,[]
275,0.8715043815290714,0.0,0.0,0.0010671783860639803,[]
276,0.8710686293383069,0.0,0.0,0.00109458600403741,[]
277,0.8706330950236377,0.0,0.0,0.0010754734957091777,[]
278,0.870197778476126,1.0,0.5,0.0011489524242434916,[]
279,0.869762679586888,1.0,0.5,0.0010592659918724427,[]
280,0.8693277982470946,0.0,0.0,0.0009982166549057834,[]
281,0.8688931343479711,1.0,0.5,0.0009701149816724604,[]
282,0.8684586877807972,1.0,0.5,0.0009567145172539832,[]
283,0.8680244584369068,0.0,0.0,0.0010075857349771207,[]
284,0.8675904462076884,0.0,0.0,0.0009952352472048784,[]
285,0.8671566509845846,0.0,0.0,0.0009454276081773319,[]
286,0.8667230726590923,1.0,0.5,0.0010063806144587164,[]
287,0.8662897111227629,0.0,0.0,0.00096806586711734,[]
288,0.8658565662672015,0.0,0.0,0.000947380511954959,[]
289,0.865423637984068,0.0,0.0,0.001049175664998724,[]
290,0.864990926165076,0.0,0.0,0.0010344652377534658,[]
291,0.8645584307019936,1.0,0.5,0.0008341483416734264,[]
292,0.8641261514866426,0.0,0.0,0.0008991875835844049,[]
293,0.8636940884108993,0.0,0.0,0.001072335093257217,[]
294,0.8632622413666939,1.0,0.5,0.0010305824638011732,[]
295,0.8628306102460106,0.0,0.0,0.0008866899542876386,[]
296,0.8623991949408877,0.0,0.0,0.0009744953991945034,[]
297,0.8619679953434173,0.0,0.0,0.000983735950514009,[]
298,0.8615370113457457,1.0,0.5,0.0010761225627668734,[]
299,0.8611062428400729,0.0,0.0,0.001029453248982983,[]
300,0.8606756897186528,0.0,0.0,0.0009885715124463396,[]
301,0.8602453518737936,0.0,0.0,0.0009664285247812846,[]
302,0.8598152291978567,0.0,0.0,0.0009637065162782424,[]
303,0.8593853215832578,1.0,0.5,0.0009858809612757926,[]
304,0.8589556289224661,0.0,0.0,0.0009022329723978016,[]
305,0.8585261511080049,1.0,0.5,0.0013651099006944734,[]
306,0.858096888032451,0.0,0.0,0.0013818292498555301,[]
307,0.8576678395884348,0.0,0.0,0.0011964056502828109,[]
308,0.8572390056686406,0.0,0.0,0.001238220804620401,[]
309,0.8568103861658064,1.0,0.5,0.001348015846618052,[]
310,0.8563819809727236,0.0,0.0,0.0014447615718901424,[]
311,0.8559537899822373,0.0,0.0,0.001233037385973148,[]
312,0.8555258130872462,1.0,0.5,0.0012780022040741253,[]
313,0.8550980501807026,1.0,0.5,0.0013112699539799776,[]
314,0.8546705011556123,0.0,0.0,0.001293638452604812,[]
315,0.8542431659050345,0.0,0.0,0.0012009878217109611,[]
316,0.853816044322082,0.0,0.0,0.001270900185253205,[]
317,0.8533891362999211,0.0,0.0,0.0012925722543150186,[]
318,0.8529624417317712,0.0,0.0,0.001308981415391567,[]
